%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1574829756037100481,10350,1574829756037100481,/map,0.00412599182129,0.00911493873596,0.00410192632675,-0.000737658376023,-0.00417782887375,-0.0187517537698,0.999815169587
1574829756137120045,10351,1574829756137120045,/map,0.00412599182129,0.00911493873596,0.00410192632675,-0.000737658376023,-0.00417782887375,-0.0187517537698,0.999815169587
1574829756237100053,10352,1574829756237100053,/map,0.00412599182129,0.00911493873596,0.00410192632675,-0.000737658376023,-0.00417782887375,-0.0187517537698,0.999815169587
1574829756337099213,10353,1574829756337099213,/map,0.00406051397324,0.00911325550079,0.00410192632675,-0.000733803016609,-0.00438339045036,-0.0187519057665,0.999814289482
1574829756437103382,10354,1574829756437103382,/map,0.00406051397324,0.00911325550079,0.00410192632675,-0.000733803016609,-0.00438339045036,-0.0187519057665,0.999814289482
1574829756537099984,10355,1574829756537099984,/map,0.00406151390076,0.00907405376434,0.00406420755386,-0.000733803016609,-0.00438339045036,-0.0187519057665,0.999814289482
1574829756637095011,10356,1574829756637095011,/map,0.00406151390076,0.00907405376434,0.00406420755386,-0.000733803016609,-0.00438339045036,-0.0187519057665,0.999814289482
1574829756737100276,10357,1574829756737100276,/map,0.00406391000748,0.00898007965088,0.00411873960495,-0.00114103600289,-0.00439103631423,-0.0187397326287,0.99981410235
1574829756837099624,10358,1574829756837099624,/map,0.00406510782242,0.00893310928345,0.00414603424072,-0.00134465246751,-0.00439485885163,-0.0187336455399,0.999813946517
1574829756937103628,10359,1574829756937103628,/map,0.00400191116333,0.00883754253387,0.00420068120956,-0.00174803598965,-0.00460806500077,-0.0187218291874,0.999812584047
1574829757037124043,10360,1574829757037124043,/map,0.00400191116333,0.00883754253387,0.00420068120956,-0.00174803598965,-0.00460806500077,-0.0187218291874,0.999812584047
1574829757137085214,10361,1574829757137085214,/map,0.00387072730064,0.00883430576324,0.00420068120956,-0.00109844464733,-0.0049952288038,-0.0193584628285,0.999799525418
1574829757237074918,10362,1574829757237074918,/map,0.00387072730064,0.00883430576324,0.00420068120956,-0.00109844464733,-0.0049952288038,-0.0193584628285,0.999799525418
1574829757337103856,10363,1574829757337103856,/map,0.00386977601051,0.00887350845337,0.00423839998245,-0.0011016372696,-0.00499452569894,-0.0187194021762,0.999811694816
1574829757437103607,10364,1574829757437103607,/map,0.00386977601051,0.00887350845337,0.00423839998245,-0.00174033741169,-0.00501918599586,-0.018722545851,0.999810604702
1574829757537078045,10365,1574829757537078045,/map,0.00386977601051,0.00887350845337,0.00423839998245,-0.0011016372696,-0.00499452569894,-0.0187194021762,0.999811694816
1574829757637099659,10366,1574829757637099659,/map,0.00386977601051,0.00887350845337,0.00423839998245,-0.00172058067051,-0.00557186149278,-0.0184020647409,0.999813661626
1574829757737100475,10367,1574829757737100475,/map,0.00386977601051,0.00887350845337,0.00423839998245,-0.0011016372696,-0.00499452569894,-0.0187194021762,0.999811694816
1574829757837083276,10368,1574829757837083276,/map,0.00387167835236,0.00879511833191,0.00416294622421,-0.00174033741169,-0.00501918599586,-0.018722545851,0.999810604702
1574829757937099872,10369,1574829757937099872,/map,0.00380606913567,0.00879354000092,0.00416294622421,-0.00109778859509,-0.00520008649648,-0.0187196288124,0.999810646802
1574829758037099852,10370,1574829758037099852,/map,0.00380606913567,0.00879354000092,0.00416294622421,-0.00109778859509,-0.00520008649648,-0.0187196288124,0.999810646802
1574829758137099588,10371,1574829758137099588,/map,0.00374045944214,0.0087919883728,0.00416294622421,-0.00107432479091,-0.00595811843455,-0.0183990126591,0.999812393894
1574829758237079051,10372,1574829758237079051,/map,0.00360923790932,0.00878896617889,0.00416294622421,-0.0017054462424,-0.00639410382016,-0.0184034743744,0.99980874122
1574829758337103799,10373,1574829758337103799,/map,0.00354449629784,0.0087483215332,0.0041251950264,-0.00105877334199,-0.00657547793425,-0.0190387288435,0.999796563753
